pregunta_normalizada,final_pregunta_isAcusatoria
el espiritu del sistema nacional de contratacion publica es fomentar la produccion nacional esdecir dar prioridad privilegio primero a lo ecuatoriano la ley no permite igualdad decondiciones entre los importados y los productos nacionales lean bien aqui no hay igualdad decondiciones no debe haberla lo nacional es primero lo otro es segundo plano entiendan eseconcepto por favor solo los paises desarrollados llegan hacerlo porque ellos consumen primero lode ellos lo importado es lo ultimo porque se complican tanto si un productor nacional tieneprocesos ganados cuenta con el certificado del iepi correspondiente porque ponen trabas acaso noes suficiente sean mas gratos con su pais y piensen mas en lo nuestro,1.0615993955841239
buenas tardes no se supone que el sistema de compras publicas es para poder participar cualquiertipo de imprenta si piden certificados referente al proceso de contratacion estanimpidiendo que las microempresas puedan participar yo he trabajado con ministerios de saludy ellos no pagan por un sistema de seguridad en tinta termica hasta cuando seraequitativo el trabajo porque siempre es la misma empresa la que gana,1.019583607441865
buenos dias no se porque llaman a concurso cuando esta obra ya esta ejecutada yo ya presente estamisma oferta que salio hace unas semanas y viste el sitio de la obra en la cual las estructuras yaestan construidas ademas cuando iba a dejar la oferta no habia nadie para recibirlas las oficinasestaban cerradas tube que dejarla en la casa junto a las oficinas para que me den entregando otrala oferta que yo presente cumplia con todo loq ue pedia y me descalificaron no se como se estamanejando este proceso voy a presentar mi que ja en el sercop y contraloria gracias,0.9954327920807243
buenas tardessenores segun las nuevas resoluciones del sercop esta terminantemente prohibidosolicitar documentacion notarizada y o certificada unicamente la empresa adjudicada debe cumplircon esto esta pregunta se la hace en virtud de que solicitan copias certificadas de contratos cuyosmontos sean el del presupuesto referencial por favor aclarar este requerimiento,1.1037041812413215
senores de la ct los requerimientos tecnicos solicitados de disponer de tapa segmentada presuponeun direccionamiento especifico a un solo fabricante extranjero que dispone esta de la mismamanera restringe la participacion y violenta la norma de contratacion publica en lo referentes atrato justo y transparencia en los procesos de fabricacion sugerimos ampliar a contenedores deresiduos de litros con tapa plana o segmentada,1.165092230001505
senores el plazo de entrega es imposible salvo que ya alguien tenga comprada justo esas maquinas ysolo deba entregar se debia considerar un plazo de a dias minimo,0.9824570255503109
buenos dias no se porque llaman a concurso cuando esta obra ya esta ejecutada yo ya presente estamisma oferta que salio hace unas semanas y viste el sitio de la obra en la cual las estructuras yaestan construidas ademas cuando iba a dejar la oferta no habia nadie para recibirlas las oficinasestaban cerradas tube que dejarla en la casa junto a las oficinas para que me den entregando otrala oferta que yo presente cumplia con todo loq ue pedia y me descalificaron no se como se estamanejando este proceso voy a presentar mi que ja en el sercop y contraloria gracias,1.0163206943864727
ustedes estan locos sigue todavia la corrupcion en las entidades contratantes esta subasta estadirigida como van a dar plazo de entrega de dias los artesanos metalmecanicos no tenemosoportunidad de compertir la patria es de lo sabido sigan con su sinverguenseria,1.1374437752205622
estimados no se entiende para que cierran las bases de una manera absurda lo cual esta en contrade la normativa vigente resolucion sercop art en la parte del puerto deadministracion solicitan el equipo debe incluir un chip dedicado asic y despues solicitan procesador independiente asic para administracion memoria nand gb memoria mb para logs desalud del sistema les comento las bases estan direccionadas a una sola marca que es hpe lo cualse puede corroborar en el siguiente link en la pagina pueden ver la tablacomparativa de los servidores de entrada y los servidores corporativos donde se detalla la memorianand de gb y los mb para logs lo cual es injustificable ya que que en los tdrs en lajustificacion del proceso dicen que tienen estos aplicativos en computadores normales no enservidores permitan entrar a otras marcas que hacen lo mismo y mas sin procesadores asic nand,1.029931668662064
estimados en los tdr y pliegos del proceso estan solicitando de manera obligatoria certificacionesasse y donde el objeto de contratacion es el suministro de gases medicinales paraatencion de pacientes covid donde los unicos documentos deben ser los permisos defuncionamiento registro sanitarios bpm y certificaciones inen que avalan la calidad del producto adicionalmente solicitar certificado internacionales de manera obligatoria va en contra del art no de las buenas practicas de contratacion publica puesto que esto favorece a empresasmultinacionales que tienen los recursos para obtener dichas certificaciones e iendo en contra deltrato igualitario equitativo y transparente acordel art no de la losncp por todo lo antesmencionado solicitamos que se elimine dicho requerimiento el cual en procesos anteriores ustedes yalo han desestimado permitiendo una transparencia en el proceso caso contrario se hara el reclamo alsercop para dar de baja el proceso,1.1753787847386665
estimados senores con todo el respeto y consideracion que ustedes se merecen le pidocomedidamente se dignen abtenerse de publicar los pliegos direccionando a la marca chaide y chaideporque no es legal ni etico por otro lado les aclaro que las medidas de plaza es de x yustedes definen la altura si sera de o de cm de alto la medida que ustes piden dice de unaplaza pero en realidad ponen la de que es de x e igualmente ustedes definen laaltura por favor aclarennos si quieren de de ancho o de por un lado y de que altonecesitan si de o de cm tambien necesitamos saber si al requerir un colchon ortopedicolo requieren de resortes o de espuma de alta densidad tengan la bondad de contestar lo mas prontoposible muchas gracias por su amable atencion,1.0158842333160052
estimada entidad segun el articulo de la normativa secundaria vigente del reglamento decontratacion publica donde se indica que para los terminos minimos para la etapa de preguntassegun el monto de presupuesto referencial total en este caso el termino minimoexigido es de dias maximo dias por lo cual estarian incumplimiento el articulo enmencion puesto que al ser un proceso con un monto de usd no permite revisar conexactitud los pliegos y los terminos de referencia y es de gran preocupacion puesto que noseesta cumpliendo con el principio de libre participacion solicitamos a las entidadescorrespondiente la revision de este proceso debido a que se estan vulnerando los derechos de unalibre y justa participacion de los proveedores,1.0473196197446344
estimados se solicita la omision de la presentacion de muestras en esta etapa sino que se pida aloferente ganador puesto que es un limitante ya que resulta discriminatorio considerando que lasinvitaciones que se realizan a traves de los procedimientos de subasta inversa electronica seextienden a nivel nacional y se afecta los principios de concurrencia trato justo y detransparencia previstos en el articulo de la ley organica del sistema nacional de contratacionpublica ademas dentro de la fase preparatoria la contratante debia dejar evidenciado el sustentotecnico juridico para tal requerimiento cabe mencionar que ha sido el sercop quien ha manifestadolo escrito en esta pregunta por lo que pedir muestras de bienes normalizados al ser subasta inversaelectronica es causal para control por parte del sercop y posterior sanciones a la entidad ydeclaratoria de desierto o cancelacion del procedimiento saludos,1.158816121633818
buenas tardes estimada entidad contratante mediante el presente solicitamos de la manera mascomedida se de revision al pliego nuevamente por la cantidad de producto solicitados en esteproceso el tiempo de entrega que han colocado es de dias es muy corto por lo que se entiendecomo un error tal vez de digitacion tomando en cuenta que las importaciones se estan manejandocon un tiempo de entrega estimado de y o dias caso contrario se da a entender que esteproceso esta dirigido a un proveedor que al momento cuenta con todos los productos ya importados por lo que solicitamos igualdad transparencia y trato justo en la contratacion publica,1.0845633362974478
senores incop revisar este proceso se evidencia proceso de vicio en cuanto a que esta dirigido auna marca exclusiva y esta es olympus por favor declarar decierto por que no se debe direccionar,0.9230000185283539
estimados vemos en la especificaciones tecnicas que piden ustedes papel crepe de produccionnacional queremos senalar que en ecuador no existe fabrica alguna de este producto los que hayson un chinos chlenos o colombianos favor aclarar esto o en su defecto indicar cual esla marca y fabricante local de este producto pediran certificaciones de produccion nacional deeste item en caso de no prersentarla se descalificara la oferta como comprobaran ustedes que elofertante dice la verdad o no sobre la procedencia de tal o cual producto,1.0814361140442523
buenos dias ustedes como institucion estan incumpliendo la ley de contratacion al ubicar mal losporcentajes de la experiencia tanto en la general como en la especifica tambien esta mal ubicadoel tema de equipo minimo pltaforma y volqueta ya que este proceso es de provicion de bienes no deobra y las diferentes casas comenrciales en venta de materiales de ferreteria no disponen volqueta favor rectificar para no reportar estas inconsistencias al sercop gracias,1.0940073438395816
concuerdo plenamente con los comentarios anteriores seria bueno que las especificaciones tecnicassean claras precisas y entendibles para todos y sobre todo deberian preocuparse de enviardisenos medidas acabados del mobiliario que requieren les pregunto sres alimentate ecuadorustedes entienden algo de las especificaciones que estan pidiendo lo dudo seamos serios ytrabajemos con transparencia y claridad ojala contesten a todas las inquietudes,0.8998199404879084
senores me voy a permitir hacer una reflexion para que ustedes la analicen con detenimiento enciertos concursos convocados por la vicepresidencia pareceria que son para descalificar aproveedores y no para calificarlos en mayor cantidad y lo digo por cuanto en ciertos procesos noexiste uniformidad de criterios siendo la misma institucion ej en los ultimos procesos seindica que el tiempo de entrega es a partir de la adjudicacion en el portal mientras que otrorelativo a colchones antiescaras en el cual por muchos concursos es la misma compania ganadora sedetermina que el tiempo de entrega es a partir de la recepcion del anticipo da la impresion que seesta favoreciendo a esa empresa por la magnitud de los concursos ninguno de los oferentes esta encapacidad de adelantar con dineros propios la fabricacion de los equipos hasta que se entregue elanticipo esa figura es un principio de no equidad solicito que en todos los procesos el tiempocorra a partir del anticipo,1.1532750601853863
seamos sensatos las personas no van a estar esperando que salga un proyecto las personas si tienenla posibilidad de tener una oportunidad de trabajo lo aceptaran al pedir hojas de vida odocumentacion de personas que van a ganar un sueldo basico en cualquier momento van a aceptar unaoferta de trabajo al pedir este tipo de documentacion es irreal que todos y cada uno de las hojasde vida que presentemos sean realmente las personas que van a trabajar con respeto y de maneratecnica cartas de compromiso firmadas por el represnetante legal donde el personal que va a operarva a contar con los requisitos que ustedes exijan es mucho mas sensato y mas evidente que latecnicidad de los pliegos y requerimientos sean mas reales y aproximados a un servicio de calidad,0.888471329200702
hay que estar alerta en este proceso porque se puede denunciar al sercop a traves de la opcionreclamos dando a conocer si el presupuesto es muy bajo y le rogaria a los proveedor si es bajo elpresupuesto no participar,1.1143064060553205
estimados hay ciertos procesos que no los he encontrado es decir que no existen dentro de lasespecificaciones aparecen los procesos pero que sucede que al momento de buscarlos individualmenteno existen ni tampoco al momento que se los busca con la opcion de busqueda de procesos dichosprocesos son los siguientes sie iess mcd sie iess mcd sie iess mcd sie iess mcd sie iess mc por lo tanto requiero saber que va a pasar con dichosprocesos si se los va a ofertar o no confirmar lo mas pronto posible si los subieron realmente oesta mal ingresado el numero de proceso gracias,0.8685486705224597
senores buenos dias les ruego tomar en cuenta el agregado nacional que sulen poner algunosparticipantes que ponen bajo el cuando todos sabemos que en el ecuador no se fabrican ni seensamblan aires acondicionados y de esta manera descalificar a quiene ponen la verdad es obligacionde las instituciones investigar que la informacion dada por los oferentes sea verdadera y de noserlo deberian descalificarlos para que los procesos se den con transparencia en beneficio de lkainstitucion a la que dignamente ustedes representan y del estado ecuatoriano gracias,0.9472556518668079
ninguna empresa es productora de todos los productos ni su mauoria de productos el vae de umbral demanera tecnica debe ser del dado que estos productos los provee una distribuidora ocomercializado si alguna persona indica un vae mayor al se reportara al sercop el mal uso deesta medida preferencial y el sercop solicitara el sustento en caso de no tener el proveedor elsercop suspende dias del portal por segunda vez meses hasta terminar en una suspensiondefinitiva,0.941989779074453
buenos dias estimados nuevamente este proceso presenta inconsistencias no se encuentra subido elpliego ni especificaciones tecnicas es decir no hay nada de informacion para este proceso porfavor antes de subir el proceso de contratacion verificar bien,0.9630841996647272
buenos dias no se porque llaman a concurso cuando esta obra ya esta ejecutada yo ya presente estamisma oferta que salio hace unas semanas y viste el sitio de la obra en la cual las estructuras yaestan construidas ademas cuando iba a dejar la oferta no habia nadie para recibirlas las oficinasestaban cerradas tube que dejarla en la casa junto a las oficinas para que me den entregando otrala oferta que yo presente cumplia con todo loq ue pedia y me descalificaron no se como se estamanejando este proceso voy a presentar mi que ja en el sercop y contraloria gracias,0.975673689221975
sres gadpeo conforme el modelo de pliegos vigente el calculo de los valores a cumplir comoexperiencia especifica de acuerdo al presupuesto inicial del estado deben ser acumulativos favor especificar la cantidad de contratos permitidos y su valor en caso de no hacerlo se limita laparticipacion a diferentes proveedores y se violenta la normativa vigente presentaremos un reclamosobre este proceso solicitando la suspension del mismo al sercop hasta que la entidad justifique suextrano proceder,0.9515535303836555
el archivo no se puede descargar acao ya esta amarrada la contratacion,1.015866656741319
supervisores y vigilantes certificado de capacitacion del personal o guardias de la empresaoferente curso de capacitacion para vigilantes de centros medicos y hospitalarios avalado porla afeme asociacion de facultades ecuatoriana de ciencias medicas y de la salud favor eliminareste requisito que no es normando ni exigido por la maxima autoridad del ministerio del interiorunicamente es exigido el curso de guardia profesional en caso de no elminar este requisito sereportara al comite de gestion de etica antisoborno creada por el sercop para imponer sancionesa los miembros de la comision tecnica,0.9557761974236217
senores buenos dias les ruego tomar en cuenta el agregado nacional que sulen poner algunosparticipantes que ponen bajo el cuando todos sabemos que en el ecuador no se fabrican ni seensamblan aires acondicionados y de esta manera descalificar a quiene ponen la verdad es obligacionde las instituciones investigar que la informacion dada por los oferentes sea verdadera y de noserlo deberian descalificarlos para que los procesos se den con transparencia en beneficio de lkainstitucion a la que dignamente ustedes representan y del estado ecuatoriano gracias,1.022640301159951
como se puede mandar un listado de un personal que todavia no se contrata por que si se le envia elque tiene la empresa s estaria enganando pero parece que esto esta direccionado ha alguna empresa,1.0572676343491372
